IssueID,LPO_Number,ItemCode,IssueDate,IssuedTo,IssuedToID,IssuedBy,IssuedQuantity,UnitCost,TotalCost,IssueType,TransportMode,DeliveryStatus,WaybillNo,Remarks,Department,RequestID,BatchNo,ExpiryDate,StorageCondition,QualityCheck,IssuedFromWarehouse
ISS-000001,LPO-003247,MED-ISS-9438,2025-05-08,Pharmacy,REC-2643,Denise Thompson,76,292.94,22263.44,Regular,Sea,In Transit,WB-21150,Urgent,Laboratory,REQ-5260,BATCH-75092,2025-09-08,Room Temperature,Passed,Main Warehouse
ISS-000002,LPO-000559,MED-ISS-9781,2025-07-04,Pharmacy,REC-5179,Spencer Cordova,79,35.45,2800.55,Return,Sea,Delivered,WB-79114,Temperature Sensitive,Maternity,REQ-6169,BATCH-91059,2025-10-18,Frozen,Passed,Dispatch Center
ISS-000003,LPO-006158,MED-ISS-6893,2025-02-08,Pharmacy,REC-8802,Wesley Gibson Jr.,68,145.69,9906.92,Return,Courier,Partially Delivered,WB-79188,Controlled Substance,Surgery,REQ-9140,BATCH-80160,2025-07-11,Cold Chain,Conditional,Cold Storage
ISS-000004,LPO-004734,MED-ISS-5672,2025-11-30,Government Agency,REC-3186,Katie Sandoval,83,74.02,6143.66,Emergency,Sea,Delivered,WB-61688,Controlled Substance,Surgery,REQ-9794,BATCH-51007,2026-03-30,Refrigerated,Conditional,Main Warehouse
ISS-000005,LPO-005358,MED-ISS-5394,2025-05-10,NGO,REC-2049,Jerry Wood,91,64.74,5891.34,Donation,Air,In Transit,WB-49084,,Laboratory,REQ-5329,BATCH-53303,2025-11-25,Cold Chain,Failed,Satellite Store
ISS-000006,LPO-005916,MED-ISS-6643,2025-11-15,Hospital,REC-8117,Melissa Rose,11,294.4,3238.4,Regular,Road,Partially Delivered,WB-23602,Fragile,Maternity,REQ-5775,BATCH-62295,2026-10-12,Cold Chain,Failed,Satellite Store
ISS-000007,LPO-000597,MED-ISS-1630,2025-02-01,Government Agency,REC-9313,Troy Davidson,16,427.78,6844.48,Loan,Courier,Pending,WB-77872,Urgent,OPD,REQ-3554,BATCH-93453,2025-08-03,Refrigerated,Conditional,Main Warehouse
ISS-000008,LPO-005109,MED-ISS-9403,2025-10-21,Hospital,REC-2315,Drew Brown,93,227.39,21147.27,Loan,Sea,Delivered,WB-47034,Temperature Sensitive,OPD,REQ-8047,BATCH-89423,2026-08-03,Frozen,Conditional,Satellite Store
ISS-000009,LPO-000872,MED-ISS-5692,2025-08-28,NGO,REC-7095,Becky Bonilla,16,492.95,7887.2,Regular,Sea,In Transit,WB-32024,,ICU,REQ-7162,BATCH-98617,2026-05-07,Room Temperature,Conditional,Cold Storage
ISS-000010,LPO-006045,MED-ISS-7163,2025-10-23,NGO,REC-6881,Barbara Lee,89,282.12,25108.68,Return,Road,Partially Delivered,WB-73594,Urgent,Surgery,REQ-7366,BATCH-87028,2026-04-18,Frozen,Pending,Satellite Store
ISS-000011,LPO-000932,MED-ISS-4044,2025-03-31,Hospital,REC-5898,Cheryl Martinez,46,482.73,22205.58,Emergency,Air,In Transit,WB-53432,Temperature Sensitive,ER,REQ-3813,BATCH-21516,2025-08-06,Frozen,Failed,Dispatch Center
ISS-000012,LPO-004505,MED-ISS-3056,2025-04-13,Clinic,REC-4528,Ryan Johnson,67,67.63,4531.21,Regular,Air,In Transit,WB-31285,,ICU,REQ-8070,BATCH-21312,2025-05-19,Refrigerated,Pending,Satellite Store
ISS-000013,LPO-006697,MED-ISS-1551,2025-06-19,NGO,REC-7525,Aimee Carlson,74,150.18,11113.32,Loan,Road,Pending,WB-85821,Urgent,ICU,REQ-5624,BATCH-18695,2025-11-24,Refrigerated,Pending,Cold Storage
ISS-000014,LPO-004395,MED-ISS-3635,2025-11-22,Hospital,REC-4587,Jonathan Walters,53,8.0,424.0,Loan,Courier,In Transit,WB-70484,Controlled Substance,Maternity,REQ-7343,BATCH-69063,2026-05-25,Cold Chain,Conditional,Cold Storage
ISS-000015,LPO-001938,MED-ISS-2438,2025-02-01,Pharmacy,REC-4858,Joshua Frank,49,457.04,22394.96,Emergency,Road,Partially Delivered,WB-53281,,OPD,REQ-5264,BATCH-21318,2025-06-04,Cold Chain,Failed,Dispatch Center
ISS-000016,LPO-005113,MED-ISS-4069,2025-11-28,Pharmacy,REC-7055,Terry Caldwell,17,369.79,6286.43,Regular,Sea,Delivered,WB-47948,,OPD,REQ-7535,BATCH-79632,2026-02-14,Cold Chain,Conditional,Main Warehouse
ISS-000017,LPO-005747,MED-ISS-3041,2025-07-09,Government Agency,REC-6827,Susan Brown,55,442.89,24358.95,Regular,Courier,Pending,WB-21120,Temperature Sensitive,Maternity,REQ-2490,BATCH-26126,2026-05-14,Room Temperature,Failed,Cold Storage
